"Type","Strain","Media","Outflow Well","name","sample","Description","generation","Population","Parent","Frequency"
"1_copy_ctrl","DGY500","glutamine-limited","D03","Experiment_046-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","NA","zero_copy","Single_cells",1.02278345418589
"1_copy_ctrl","DGY500","glutamine-limited","D03","Experiment_046-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","NA","one_copy","Single_cells",96.7215309822017
"1_copy_ctrl","DGY500","glutamine-limited","D03","Experiment_046-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","NA","two_copy","Single_cells",1.2720418589321
"1_copy_ctrl","DGY500","glutamine-limited","D03","Experiment_046-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","NA","multi_copy","Single_cells",0.00102999340804219
"Experimental","DGY2150","glutamine-limited","A10","Experiment_046-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","NA","zero_copy","Single_cells",4.93303548450191
"Experimental","DGY2150","glutamine-limited","A10","Experiment_046-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","NA","one_copy","Single_cells",1.21678796800527
"Experimental","DGY2150","glutamine-limited","A10","Experiment_046-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","NA","two_copy","Single_cells",82.5779022246013
"Experimental","DGY2150","glutamine-limited","A10","Experiment_046-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","NA","multi_copy","Single_cells",12.2028803491831
"Experimental","DGY2071","glutamine-limited","A04","Experiment_046-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","NA","zero_copy","Single_cells",1.16874325725044
"Experimental","DGY2071","glutamine-limited","A04","Experiment_046-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","NA","one_copy","Single_cells",0.145960696380598
"Experimental","DGY2071","glutamine-limited","A04","Experiment_046-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","NA","two_copy","Single_cells",31.2313582806253
"Experimental","DGY2071","glutamine-limited","A04","Experiment_046-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","NA","multi_copy","Single_cells",68.4418166818268
"Experimental","DGY2071","glutamine-limited","A06","Experiment_046-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","NA","zero_copy","Single_cells",1.11303041682313
"Experimental","DGY2071","glutamine-limited","A06","Experiment_046-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","NA","one_copy","Single_cells",2.10589560645888
"Experimental","DGY2071","glutamine-limited","A06","Experiment_046-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","NA","two_copy","Single_cells",31.5403680060083
"Experimental","DGY2071","glutamine-limited","A06","Experiment_046-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","NA","multi_copy","Single_cells",73.5035674051821
"Experimental","DGY2071","glutamine-limited","A08","Experiment_046-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","NA","zero_copy","Single_cells",1.93612427216259
"Experimental","DGY2071","glutamine-limited","A08","Experiment_046-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","NA","one_copy","Single_cells",13.1261448409247
"Experimental","DGY2071","glutamine-limited","A08","Experiment_046-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","NA","two_copy","Single_cells",83.7578412009701
"Experimental","DGY2071","glutamine-limited","A08","Experiment_046-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","NA","multi_copy","Single_cells",0.112565364660615
"Experimental","DGY2071","glutamine-limited","B05","Experiment_046-Plate_001-Experimental-B5 gap1_all_2.fcs","gap1_all_2","GAP1 LTR + ARS KO","NA","zero_copy","Single_cells",0.984750811363535
"Experimental","DGY2071","glutamine-limited","B05","Experiment_046-Plate_001-Experimental-B5 gap1_all_2.fcs","gap1_all_2","GAP1 LTR + ARS KO","NA","one_copy","Single_cells",2.79086827012848
"Experimental","DGY2071","glutamine-limited","B05","Experiment_046-Plate_001-Experimental-B5 gap1_all_2.fcs","gap1_all_2","GAP1 LTR + ARS KO","NA","two_copy","Single_cells",25.5446138798737
"Experimental","DGY2071","glutamine-limited","B05","Experiment_046-Plate_001-Experimental-B5 gap1_all_2.fcs","gap1_all_2","GAP1 LTR + ARS KO","NA","multi_copy","Single_cells",72.2458098074957
"Experimental","DGY2071","glutamine-limited","B07","Experiment_046-Plate_001-Experimental-B7 gap1_all_4.fcs","gap1_all_4","GAP1 LTR + ARS KO","NA","zero_copy","Single_cells",4.16918676767573
