"Type","Strain","Media","Outflow Well","name","sample","Description","generation","Population","Parent","Frequency"
"1_copy_ctrl","DGY500","glutamine-limited","D03","14_EE_GAP1_ArchMuts_2021_071921_g137_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","137","zero_copy","Single_cells",1.05659759194037
"1_copy_ctrl","DGY500","glutamine-limited","D03","14_EE_GAP1_ArchMuts_2021_071921_g137_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","137","one_copy","Single_cells",95.583176345319
"1_copy_ctrl","DGY500","glutamine-limited","D03","14_EE_GAP1_ArchMuts_2021_071921_g137_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","137","two_copy","Single_cells",2.46948972069785
"1_copy_ctrl","DGY500","glutamine-limited","D03","14_EE_GAP1_ArchMuts_2021_071921_g137_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","137","multi_copy","Single_cells",0.00409533950364485
"Experimental","DGY2150","glutamine-limited","A10","14_EE_GAP1_ArchMuts_2021_071921_g137_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","137","zero_copy","Single_cells",0.586928610731827
"Experimental","DGY2150","glutamine-limited","A10","14_EE_GAP1_ArchMuts_2021_071921_g137_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","137","one_copy","Single_cells",0.297540198495995
"Experimental","DGY2150","glutamine-limited","A10","14_EE_GAP1_ArchMuts_2021_071921_g137_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","137","two_copy","Single_cells",33.7310725712772
"Experimental","DGY2150","glutamine-limited","A10","14_EE_GAP1_ArchMuts_2021_071921_g137_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","137","multi_copy","Single_cells",69.2922211579612
"Experimental","DGY2071","glutamine-limited","A04","14_EE_GAP1_ArchMuts_2021_071921_g137_JC-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","137","zero_copy","Single_cells",13.5251486620416
"Experimental","DGY2071","glutamine-limited","A04","14_EE_GAP1_ArchMuts_2021_071921_g137_JC-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","137","one_copy","Single_cells",0.636975553353155
