"Type","Strain","Media","Outflow Well","name","sample","Description","generation","Population","Parent","Frequency"
"1_copy_ctrl","DGY500","glutamine-limited","D03","Experiment_044-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","203","zero_copy","Single_cells",92.9411764705882
"1_copy_ctrl","DGY500","glutamine-limited","D03","Experiment_044-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","203","one_copy","Single_cells",0
"1_copy_ctrl","DGY500","glutamine-limited","D03","Experiment_044-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","203","two_copy","Single_cells",0
"1_copy_ctrl","DGY500","glutamine-limited","D03","Experiment_044-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","203","multi_copy","Single_cells",0
"Experimental","DGY2150","glutamine-limited","A10","Experiment_044-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","203","zero_copy","Single_cells",0.473171486005876
"Experimental","DGY2150","glutamine-limited","A10","Experiment_044-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","203","one_copy","Single_cells",0.0195866192464306
"Experimental","DGY2150","glutamine-limited","A10","Experiment_044-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","203","two_copy","Single_cells",39.5216741405082
"Experimental","DGY2150","glutamine-limited","A10","Experiment_044-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","203","multi_copy","Single_cells",65.0090201536003
"Experimental","DGY2071","glutamine-limited","A04","Experiment_044-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","203","zero_copy","Single_cells",0.532545010191994
"Experimental","DGY2071","glutamine-limited","A04","Experiment_044-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","203","one_copy","Single_cells",0.192100404478074
