"Type","Strain","Media","Outflow Well","name","sample","Description","generation","Population","Parent","Frequency"
"1_copy_ctrl","DGY500","glutamine-limited","D03","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","252","zero_copy","Single_cells",7.55083620918503
"1_copy_ctrl","DGY500","glutamine-limited","D03","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","252","one_copy","Single_cells",55.4175736660472
"1_copy_ctrl","DGY500","glutamine-limited","D03","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","252","two_copy","Single_cells",32.9811521104327
"1_copy_ctrl","DGY500","glutamine-limited","D03","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","252","multi_copy","Single_cells",2.07592248473586
"Experimental","DGY2150","glutamine-limited","A10","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","252","zero_copy","Single_cells",16.9435744997081
"Experimental","DGY2150","glutamine-limited","A10","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","252","one_copy","Single_cells",6.65852752269229
"Experimental","DGY2150","glutamine-limited","A10","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","252","two_copy","Single_cells",63.2475184457774
"Experimental","DGY2150","glutamine-limited","A10","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","252","multi_copy","Single_cells",13.6174956207867
"Experimental","DGY2071","glutamine-limited","A04","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","252","zero_copy","Single_cells",5.96061509825074
"Experimental","DGY2071","glutamine-limited","A04","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","252","one_copy","Single_cells",0.483321699769444
"Experimental","DGY2071","glutamine-limited","A04","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","252","two_copy","Single_cells",38.9428263214671
"Experimental","DGY2071","glutamine-limited","A04","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","252","multi_copy","Single_cells",56.5909427417137
"Experimental","DGY2071","glutamine-limited","A06","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","252","zero_copy","Single_cells",29.6795307718463
"Experimental","DGY2071","glutamine-limited","A06","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","252","one_copy","Single_cells",8.8065283917035
"Experimental","DGY2071","glutamine-limited","A06","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","252","two_copy","Single_cells",51.2548877932676
"Experimental","DGY2071","glutamine-limited","A06","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","252","multi_copy","Single_cells",4.80810098605916
"Experimental","DGY2071","glutamine-limited","A08","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","252","zero_copy","Single_cells",55.4192959062608
"Experimental","DGY2071","glutamine-limited","A08","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","252","one_copy","Single_cells",14.8430855810926
"Experimental","DGY2071","glutamine-limited","A08","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","252","two_copy","Single_cells",10.7388469493821
"Experimental","DGY2071","glutamine-limited","A08","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","252","multi_copy","Single_cells",0.0356981615446805
"Experimental","DGY2071","glutamine-limited","B05","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-B5 gap1_all_2.fcs","gap1_all_2","GAP1 LTR + ARS KO","252","zero_copy","Single_cells",6.10522868682458
"Experimental","DGY2071","glutamine-limited","B05","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-B5 gap1_all_2.fcs","gap1_all_2","GAP1 LTR + ARS KO","252","one_copy","Single_cells",0.499945420805589
"Experimental","DGY2071","glutamine-limited","B05","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-B5 gap1_all_2.fcs","gap1_all_2","GAP1 LTR + ARS KO","252","two_copy","Single_cells",43.8980460648401
"Experimental","DGY2071","glutamine-limited","B05","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-B5 gap1_all_2.fcs","gap1_all_2","GAP1 LTR + ARS KO","252","multi_copy","Single_cells",53.8423752865408
"Experimental","DGY2071","glutamine-limited","B07","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-B7 gap1_all_4.fcs","gap1_all_4","GAP1 LTR + ARS KO","252","zero_copy","Single_cells",4.28165716391701
"Experimental","DGY2071","glutamine-limited","B07","26_EE_GAP1_ArchMuts_2021_081621_g252_JC-Plate_001-Experimental-B7 gap1_all_4.fcs","gap1_all_4","GAP1 LTR + ARS KO","252","one_copy","Single_cells",0.901857914019988
