"Type","Strain","Media","Outflow Well","name","sample","Description","generation","Population","Parent","Frequency"
"1_copy_ctrl","DGY500","glutamine-limited","D03","27_EE_GAP1_ArchMuts_2021_081821_g260_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","260","zero_copy","Single_cells",65.10402822415
"1_copy_ctrl","DGY500","glutamine-limited","D03","27_EE_GAP1_ArchMuts_2021_081821_g260_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","260","one_copy","Single_cells",1.33267283667206
"1_copy_ctrl","DGY500","glutamine-limited","D03","27_EE_GAP1_ArchMuts_2021_081821_g260_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","260","two_copy","Single_cells",0.0120822559988401
"1_copy_ctrl","DGY500","glutamine-limited","D03","27_EE_GAP1_ArchMuts_2021_081821_g260_JC-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","260","multi_copy","Single_cells",0
"Experimental","DGY2150","glutamine-limited","A10","27_EE_GAP1_ArchMuts_2021_081821_g260_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","260","zero_copy","Single_cells",0.840404699738903
"Experimental","DGY2150","glutamine-limited","A10","27_EE_GAP1_ArchMuts_2021_081821_g260_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","260","one_copy","Single_cells",2.3865861618799
"Experimental","DGY2150","glutamine-limited","A10","27_EE_GAP1_ArchMuts_2021_081821_g260_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","260","two_copy","Single_cells",83.9976338120104
"Experimental","DGY2150","glutamine-limited","A10","27_EE_GAP1_ArchMuts_2021_081821_g260_JC-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","260","multi_copy","Single_cells",13.384260770235
"Experimental","DGY2071","glutamine-limited","A04","27_EE_GAP1_ArchMuts_2021_081821_g260_JC-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","260","zero_copy","Single_cells",1.0049710559728
"Experimental","DGY2071","glutamine-limited","A04","27_EE_GAP1_ArchMuts_2021_081821_g260_JC-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","260","one_copy","Single_cells",0.103294669564656
"Experimental","DGY2071","glutamine-limited","A04","27_EE_GAP1_ArchMuts_2021_081821_g260_JC-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","260","two_copy","Single_cells",26.4692590759431
