"Type","Strain","Media","Outflow Well","name","sample","Description","generation","Population","Parent","Frequency"
"1_copy_ctrl","DGY500","glutamine-limited","D03","16_EE_GAP1_ArchMuts_2021_072321_g153_IS-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","153","zero_copy","Single_cells",0.626188311151525
"1_copy_ctrl","DGY500","glutamine-limited","D03","16_EE_GAP1_ArchMuts_2021_072321_g153_IS-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","153","one_copy","Single_cells",96.4040671240804
"1_copy_ctrl","DGY500","glutamine-limited","D03","16_EE_GAP1_ArchMuts_2021_072321_g153_IS-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","153","two_copy","Single_cells",2.70728279738778
"1_copy_ctrl","DGY500","glutamine-limited","D03","16_EE_GAP1_ArchMuts_2021_072321_g153_IS-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","153","multi_copy","Single_cells",0.0206662808960899
"Experimental","DGY2150","glutamine-limited","A10","16_EE_GAP1_ArchMuts_2021_072321_g153_IS-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","153","zero_copy","Single_cells",6.38236207431943
"Experimental","DGY2150","glutamine-limited","A10","16_EE_GAP1_ArchMuts_2021_072321_g153_IS-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","153","one_copy","Single_cells",1.1251423248111
"Experimental","DGY2150","glutamine-limited","A10","16_EE_GAP1_ArchMuts_2021_072321_g153_IS-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","153","two_copy","Single_cells",42.6311975985923
"Experimental","DGY2150","glutamine-limited","A10","16_EE_GAP1_ArchMuts_2021_072321_g153_IS-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","153","multi_copy","Single_cells",53.5710588965946
"Experimental","DGY2071","glutamine-limited","A04","16_EE_GAP1_ArchMuts_2021_072321_g153_IS-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","153","zero_copy","Single_cells",1.94509573025202
"Experimental","DGY2071","glutamine-limited","A04","16_EE_GAP1_ArchMuts_2021_072321_g153_IS-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","153","one_copy","Single_cells",2.84299397546025
