"Type","Strain","Media","Outflow Well","name","sample","Description","generation","Population","Parent","Frequency"
"1_copy_ctrl","DGY500","glutamine-limited","D03","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","182","zero_copy","Single_cells",14.0249270750464
"1_copy_ctrl","DGY500","glutamine-limited","D03","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","182","one_copy","Single_cells",74.0578095995757
"1_copy_ctrl","DGY500","glutamine-limited","D03","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","182","two_copy","Single_cells",0.446565897639883
"1_copy_ctrl","DGY500","glutamine-limited","D03","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-1 copy control-D3 DGY500.fcs","ctrl1","1 copy control","182","multi_copy","Single_cells",0
"Experimental","DGY2150","glutamine-limited","A10","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","182","zero_copy","Single_cells",2.15581156610015
"Experimental","DGY2150","glutamine-limited","A10","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","182","one_copy","Single_cells",0.107842425625019
"Experimental","DGY2150","glutamine-limited","A10","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","182","two_copy","Single_cells",33.0868857388762
"Experimental","DGY2150","glutamine-limited","A10","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A10 gap1_ars_7.fcs","gap1_ars_7","GAP1 ARS KO","182","multi_copy","Single_cells",68.9818223296038
"Experimental","DGY2071","glutamine-limited","A04","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","182","zero_copy","Single_cells",1.74373805929976
"Experimental","DGY2071","glutamine-limited","A04","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","182","one_copy","Single_cells",0.537265540062699
"Experimental","DGY2071","glutamine-limited","A04","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","182","two_copy","Single_cells",26.5381732971638
"Experimental","DGY2071","glutamine-limited","A04","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A4 gap1_all_1.fcs","gap1_all_1","GAP1 LTR + ARS KO","182","multi_copy","Single_cells",70.6509462840013
"Experimental","DGY2071","glutamine-limited","A06","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","182","zero_copy","Single_cells",0.931989663009974
"Experimental","DGY2071","glutamine-limited","A06","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","182","one_copy","Single_cells",1.35854617915374
"Experimental","DGY2071","glutamine-limited","A06","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","182","two_copy","Single_cells",28.1350866086162
"Experimental","DGY2071","glutamine-limited","A06","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A6 gap1_all_3.fcs","gap1_all_3","GAP1 LTR + ARS KO","182","multi_copy","Single_cells",71.8462320841074
"Experimental","DGY2071","glutamine-limited","A08","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","182","zero_copy","Single_cells",1.26658002764197
"Experimental","DGY2071","glutamine-limited","A08","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","182","one_copy","Single_cells",12.8772407533469
"Experimental","DGY2071","glutamine-limited","A08","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","182","two_copy","Single_cells",84.8185737566269
"Experimental","DGY2071","glutamine-limited","A08","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-A8 gap1_all_5.fcs","gap1_all_5","GAP1 LTR + ARS KO","182","multi_copy","Single_cells",0.209377643005962
"Experimental","DGY2071","glutamine-limited","B05","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-B5 gap1_all_2.fcs","gap1_all_2","GAP1 LTR + ARS KO","182","zero_copy","Single_cells",0.74672978435952
"Experimental","DGY2071","glutamine-limited","B05","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-B5 gap1_all_2.fcs","gap1_all_2","GAP1 LTR + ARS KO","182","one_copy","Single_cells",0.88706890231769
"Experimental","DGY2071","glutamine-limited","B05","19_EE_GAP1_ArchMuts_2021_073021_g182_IS-Plate_001-Experimental-B5 gap1_all_2.fcs","gap1_all_2","GAP1 LTR + ARS KO","182","two_copy","Single_cells",53.9949519809809
