"name","Population","Parent","Frequency"
"Experiment_042-Plate_001-Experimental-D5 gap1_ltr_2.fcs","multi_copy","Single_cells",0.0137019509470156
"Experiment_042-Plate_001-Experimental-D7 gap1_ltr_4.fcs","zero_copy","Single_cells",0.193881710124811
"Experiment_042-Plate_001-Experimental-D7 gap1_ltr_4.fcs","one_copy","Single_cells",65.9737598730956
"Experiment_042-Plate_001-Experimental-D7 gap1_ltr_4.fcs","two_copy","Single_cells",17.0087136609494
"Experiment_042-Plate_001-Experimental-D7 gap1_ltr_4.fcs","multi_copy","Single_cells",0.00220320125141831
"Experiment_042-Plate_001-Experimental-D9 gap1_ars_6.fcs","zero_copy","Single_cells",5.09060652885686
"Experiment_042-Plate_001-Experimental-D9 gap1_ars_6.fcs","one_copy","Single_cells",33.4006894092476
"Experiment_042-Plate_001-Experimental-D9 gap1_ars_6.fcs","two_copy","Single_cells",38.5971926563868
"Experiment_042-Plate_001-Experimental-D9 gap1_ars_6.fcs","multi_copy","Single_cells",0.00540289378991388
"Experiment_042-Plate_001-Experimental-E4 gap1_ars_1.fcs","zero_copy","Single_cells",0.487912133935022
"Experiment_042-Plate_001-Experimental-E4 gap1_ars_1.fcs","one_copy","Single_cells",10.2042739427698
"Experiment_042-Plate_001-Experimental-E4 gap1_ars_1.fcs","two_copy","Single_cells",67.2858055261808
"Experiment_042-Plate_001-Experimental-E4 gap1_ars_1.fcs","multi_copy","Single_cells",0
"Experiment_042-Plate_001-Experimental-E6 gap1_ars_3.fcs","zero_copy","Single_cells",0.0987413081664259
"Experiment_042-Plate_001-Experimental-E6 gap1_ars_3.fcs","one_copy","Single_cells",5.35281828481151
"Experiment_042-Plate_001-Experimental-E6 gap1_ars_3.fcs","two_copy","Single_cells",77.7884025735103
"Experiment_042-Plate_001-Experimental-E6 gap1_ars_3.fcs","multi_copy","Single_cells",0.00103938219122554
"Experiment_042-Plate_001-Experimental-E8 gap1_ars_5.fcs","zero_copy","Single_cells",0.238783989901646
"Experiment_042-Plate_001-Experimental-E8 gap1_ars_5.fcs","one_copy","Single_cells",85.4268132330511
"Experiment_042-Plate_001-Experimental-E8 gap1_ars_5.fcs","two_copy","Single_cells",4.38436858991217
"Experiment_042-Plate_001-Experimental-E8 gap1_ars_5.fcs","multi_copy","Single_cells",0.00105191184978699
"Experiment_042-Plate_001-Experimental-E10 gap1_ltr_8.fcs","zero_copy","Single_cells",0.280403870238399
"Experiment_042-Plate_001-Experimental-E10 gap1_ltr_8.fcs","one_copy","Single_cells",88.9367927560486
"Experiment_042-Plate_001-Experimental-E10 gap1_ltr_8.fcs","two_copy","Single_cells",4.25260731266694
"Experiment_042-Plate_001-Experimental-E10 gap1_ltr_8.fcs","multi_copy","Single_cells",0.00443326277056757
"Experiment_042-Plate_001-Experimental-F7 gap1_ars_4.fcs","zero_copy","Single_cells",0.133734190337964
"Experiment_042-Plate_001-Experimental-F7 gap1_ars_4.fcs","one_copy","Single_cells",15.8915612689198
"Experiment_042-Plate_001-Experimental-F7 gap1_ars_4.fcs","two_copy","Single_cells",55.6531204644412
"Experiment_042-Plate_001-Experimental-F7 gap1_ars_4.fcs","multi_copy","Single_cells",0.0010366991499067
"Experiment_042-Plate_001-Experimental-F9 gap1_all_7.fcs","zero_copy","Single_cells",0.456500746203143
"Experiment_042-Plate_001-Experimental-F9 gap1_all_7.fcs","one_copy","Single_cells",1.07870248441752
"Experiment_042-Plate_001-Experimental-F9 gap1_all_7.fcs","two_copy","Single_cells",95.8574751997191
"Experiment_042-Plate_001-Experimental-F9 gap1_all_7.fcs","multi_copy","Single_cells",0.0482837327714863
"Experiment_042-Plate_001-Experimental-G4 gap1_2.fcs","zero_copy","Single_cells",0.269241894928907
"Experiment_042-Plate_001-Experimental-G4 gap1_2.fcs","one_copy","Single_cells",89.1268552101644
"Experiment_042-Plate_001-Experimental-G4 gap1_2.fcs","two_copy","Single_cells",4.94203511270332
"Experiment_042-Plate_001-Experimental-G4 gap1_2.fcs","multi_copy","Single_cells",0.00222513962751163
"Experiment_042-Plate_001-Experimental-G6 gap1_4.fcs","zero_copy","Single_cells",2.07468435694415
"Experiment_042-Plate_001-Experimental-G6 gap1_4.fcs","one_copy","Single_cells",91.977316499037
"Experiment_042-Plate_001-Experimental-G6 gap1_4.fcs","two_copy","Single_cells",2.58934303445324
"Experiment_042-Plate_001-Experimental-G6 gap1_4.fcs","multi_copy","Single_cells",0.00534988230258934
"Experiment_042-Plate_001-Experimental-G8 gap1_all_6.fcs","zero_copy","Single_cells",0.349951301275227
"Experiment_042-Plate_001-Experimental-G8 gap1_all_6.fcs","one_copy","Single_cells",0.329565788579583
"Experiment_042-Plate_001-Experimental-G8 gap1_all_6.fcs","two_copy","Single_cells",98.6726766178169
"Experiment_042-Plate_001-Experimental-G8 gap1_all_6.fcs","multi_copy","Single_cells",0.0407710253912886
